1286	http://www.stat-nba.com/player/1286.html	A	安德鲁-古德洛克	Andrew Goudelock	1988-12-07 00:00:00	佐治亚州盖恩斯维尔	Stone Mountain in Stone Mountain, Georgia	College of Charleston	后卫	1.91	91	0	2011年第2轮第16顺位被选中
1300	http://www.stat-nba.com/player/1300.html	A	安东尼-戈尔德怀尔	Anthony Goldwire	1971-09-06 00:00:00	佛罗里达州西棕榈滩	Suncoast in Riviera Beach, Florida	University of Houston	后卫	1.85	83	4,5,7,9,15	1994年第2轮第25顺位被选中
1305	http://www.stat-nba.com/player/1305.html	A	安德雷斯-格林艾德基斯	Andreas Glyniadakis	1981-08-21 00:00:00	希腊哈尼亚	暂无信息	暂无信息	中锋	2.16	127	11	2003年第2轮第29顺位被选中
1319	http://www.stat-nba.com/player/1319.html	A	阿尔提斯-吉尔莫尔	Artis Gilmore	1949-09-21 00:00:00	佛罗里达奇普利	Carver in Dothan, Alabama	Jacksonville University	中锋	2.18	109	53	1971年第7轮第15顺位被选中
1321	http://www.stat-nba.com/player/1321.html	A	阿尔蒙-吉列姆	Armen Gilliam	1964-05-28 00:00:00	宾夕法尼亚州匹兹堡	Bethel Park in Bethel Park, Pennsylvania	University of Nevada, Las Vegas	前锋-中锋	2.06	104	5,10,35,43,45	1987年第1轮第2顺位被选中
1347	http://www.stat-nba.com/player/1347.html	A	阿隆佐-基	Alonzo Gee	1987-05-29 00:00:00	佛罗里达州的海滨沙滩	William T. Dwyer in Palm Beach Gardens, Florida	University of Alabama	后卫	1.98	99	1,7,15,23,24,33	非选秀球员
1349	http://www.stat-nba.com/player/1349.html	A	安德鲁-盖兹	Andrew Gaze	1965-07-24 00:00:00	澳洲墨尔本	Albert Park in Melbourne, Australia	Seton Hall University	后卫	2.01	93	4,10	非选秀球员
138	http://www.stat-nba.com/player/138.html	A	阿拉拉-阿布德纳比	Alaa Abdelnaby	1968-06-24 00:00:00	埃及开罗	Bloomfield in Bloomfield, New Jersey	Duke University	前锋-中锋	2.08	109	4,5,30,31	1990年第1轮第25顺位被选中
1381	http://www.stat-nba.com/player/1381.html	A	艾里克斯-加西亚	Alex Garcia	1980-03-04 00:00:00	巴西奥兰迪亚	暂无信息	暂无信息	后卫	1.91	100	10,20	非选秀球员
14	http://www.stat-nba.com/player/14.html	A	阿尔-阿特尔斯	Al Attles	1936-11-07 00:00:00	新泽西州纽瓦克	Weequahic in Newark, New Jersey	North Carolina Agricultural and Technical State University	后卫	1.83	79	16 [16]在退役	1960年第5轮第7顺位被选中
