12	http://www.stat-nba.com/coach/12.html	T	Tony Barone	Tony Barone	1946-07-20 00:00:00	暂无信息	暂无信息	暂无信息	1年 1支球队 0次进入季后赛	52场 16胜36负 胜率30.8%	0场	0次	0个	暂无信息
120	http://www.stat-nba.com/coach/120.html	T	汤姆-海因索恩	Tom Heinsohn	1934-08-26 00:00:00	Union City, New Jersey	Saint Michael's in Union City, New Jersey	College of the Holy Cross	9年 1支球队 6次进入季后赛	690场 427胜263负 胜率61.9%	80场 47胜33负 胜率58.8%	2次	2个	1次 (72-73赛季)
122	http://www.stat-nba.com/coach/122.html	B	Bob Hill	Bob Hill		暂无信息	暂无信息	暂无信息	9年 4支球队 5次进入季后赛	603场 310胜293负 胜率51.4%	37场 17胜20负 胜率45.9%	0次	0个	暂无信息
123	http://www.stat-nba.com/coach/123.html	B	Brian Hill	Brian Hill	1947-09-19 00:00:00	East Orange, New Jersey	Our Lady of the Valley in Orange, New Jersey	Kennedy College	9年 2支球队 4次进入季后赛	613场 298胜315负 胜率48.6%	40场 18胜22负 胜率45.0%	1次	0个	暂无信息
124	http://www.stat-nba.com/coach/124.html	L	莱昂内尔-霍林斯	Lionel Hollins	1953-10-19 00:00:00	Ark City, Kansas	Rancho in Las Vegas, Nevada	Arizona State University	9年 3支球队 4次进入季后赛	534场 262胜272负 胜率49.1%	41场 20胜21负 胜率48.8%	0次	0个	暂无信息
125	http://www.stat-nba.com/coach/125.html	R	里德-霍尔兹曼	Red Holzman	1920-08-10 00:00:00	Brooklyn, New York	Franklin K. Lane in Brooklyn, New York	City College of New York	18年 3支球队 10次进入季后赛	1300场 696胜604负 胜率53.5%	105场 58胜47负 胜率55.2%	4次	2个	1次 (69-70赛季)
126	http://www.stat-nba.com/coach/126.html	B	鲍伯-霍普金斯	Bob Hopkins	1934-11-03 00:00:00	Jonesboro, Louisiana	暂无信息	Grambling State University	1年 1支球队 0次进入季后赛	22场 5胜17负 胜率22.7%	0场	0次	0个	暂无信息
127	http://www.stat-nba.com/coach/127.html	J	杰夫-霍纳塞克	Jeff Hornacek	1963-05-03 00:00:00	Elmhurst, Illinois	Lyons Township in LaGrange, Illinois	Iowa State University	5年 2支球队 0次进入季后赛	377场 161胜216负 胜率42.7%	0场	0次	0个	暂无信息
128	http://www.stat-nba.com/coach/128.html	K	Kim Hughes	Kim Hughes	1952-06-04 00:00:00	Freeport, Illinois	Freeport in Freeport, Illinois	University of Wisconsin	1年 1支球队 0次进入季后赛	33场 8胜25负 胜率24.2%	0场	0次	0个	暂无信息
129	http://www.stat-nba.com/coach/129.html	R	Rex Hughes	Rex Hughes		暂无信息	暂无信息	暂无信息	2年 2支球队 0次进入季后赛	58场 23胜35负 胜率39.7%	0场	0次	0个	暂无信息
13	http://www.stat-nba.com/coach/13.html	T	Tom Barrise	Tom Barrise		暂无信息	暂无信息	暂无信息	1年 1支球队 0次进入季后赛	2场 0胜2负 胜率0.0%	0场	0次	0个	暂无信息
130	http://www.stat-nba.com/coach/130.html	L	林赛-亨特	Lindsey Hunter	1970-12-03 00:00:00	Utica, Mississippi	Murrah in Jackson, Mississippi	Jackson State University	1年 1支球队 0次进入季后赛	41场 12胜29负 胜率29.3%	0场	0次	0个	暂无信息
131	http://www.stat-nba.com/coach/131.html	M	马克-雅法罗尼	Marc Iavaroni	1956-09-15 00:00:00	Jamaica, New York	Kennedy in Plainview, New York	University of Virginia	2年 1支球队 0次进入季后赛	123场 33胜90负 胜率26.8%	0场	0次	0个	暂无信息
132	http://www.stat-nba.com/coach/132.html	S	Stu Inman	Stu Inman		暂无信息	暂无信息	暂无信息	1年 1支球队 0次进入季后赛	26场 6胜20负 胜率23.1%	0场	0次	0个	暂无信息
133	http://www.stat-nba.com/coach/133.html	G	George Irvine	George Irvine	1948-02-01 00:00:00	Seattle, Washington	Ballard in Seattle, Washington	University of Washington	5年 2支球队 1次进入季后赛	290场 100胜190负 胜率34.5%	3场 0胜3负 胜率0.0%	0次	0个	暂无信息
134	http://www.stat-nba.com/coach/134.html	D	丹-伊塞尔	Dan Issel	1948-10-25 00:00:00	Batavia, Illinois	Batavia in Batavia, Illinois	University of Kentucky	6年 1支球队 1次进入季后赛	388场 180胜208负 胜率46.4%	12场 6胜6负 胜率50.0%	0次	0个	暂无信息
135	http://www.stat-nba.com/coach/135.html	M	马克-杰克逊	Mark Jackson	1965-04-01 00:00:00	Brooklyn, New York	Bishop Loughlin Memorial in Brooklyn, New York	St. John's University	3年 1支球队 2次进入季后赛	230场 121胜109负 胜率52.6%	19场 9胜10负 胜率47.4%	0次	0个	暂无信息
136	http://www.stat-nba.com/coach/136.html	P	菲尔-杰克逊	Phil Jackson	1945-09-17 00:00:00	Deer Lodge, Montana	Williston in Williston, North Dakota	University of North Dakota	20年 2支球队 20次进入季后赛	1640场 1155胜485负 胜率70.4%	333场 229胜104负 胜率68.8%	13次	11个	1次 (95-96赛季)
137	http://www.stat-nba.com/coach/137.html	S	Stu Jackson	Stu Jackson		暂无信息	暂无信息	暂无信息	3年 2支球队 1次进入季后赛	136场 58胜78负 胜率42.6%	10场 4胜6负 胜率40.0%	0次	0个	暂无信息
138	http://www.stat-nba.com/coach/138.html	B	巴迪-吉纳特	Buddy Jeannette	1917-09-15 00:00:00	New Kensington, Pennsylvania	New Kensington in New Kensington, Pennsylvania	Washington & Jefferson College	4年 2支球队 1次进入季后赛	201场 79胜122负 胜率39.3%	10场 5胜5负 胜率50.0%	0次	0个	暂无信息
