0009d1e8-4274-4169-bc1b-23727be27b59	d3628e5f-8172-44ce-997b-7ce4efad17b1	10	0.542	45	83	0.355	31	11	0.8079999999999999	21	26	0.6459999999999999	29	9	20	32	13	2	14	18	122	39754
000b5938-cbfb-4c46-afa7-7ffe733f8b6d	69b22e56-243f-4f9f-b0b7-245443659fad	10	0.47700000000000004	42	88	0.364	22	8	0.696	16	23	0.55	47	8	39	24	15	3	11	18	108	40297
002a2c47-8f46-4b30-9ca4-3aa5e4c3fdbe	400f5241-2d8c-4e12-8626-a2c6294e8cf2	12	0.45799999999999996	38	83	0.35700000000000004	28	10	0.733	11	15	0.541	49	11	38	22	7	5	25	24	97	39999
002b27fe-f4cc-4743-bd6c-d6fbb284add5	5242f11f-456e-4dba-89a5-6de617236cf6	13	0.5379999999999999	43	80	0.348	23	8	0.741	20	27	0.62	36	7	29	23	10	9	13	26	114	39344
00491627-0eef-4eb1-b2d4-870022d341dd	468ae0b5-3be6-4137-a095-21fb1eb61519	9	0.41	32	78	0.385	26	10	0.619	13	21	0.499	45	11	34	19	7	6	18	14	87	37072
004ec5da-6a7f-4cf6-8fcf-091e3dc3a9c4	09e0c29b-e595-4d2b-ad94-bf730de50302	10	0.418	38	91	0.318	22	7	0.8079999999999999	21	26	0.508	62	21	41	20	8	0	22	20	104	36889
00504250-1dc6-49a0-a69d-483d5354a8c4	4d7c7173-30bf-4329-859e-bed49a89d003	9	0.42700000000000005	38	89	0.429	28	12	0.87	20	23	0.545	48	14	34	23	5	5	17	18	108	39380
0054462d-4a3e-4dc5-8211-cc3084ca931d	09e0c29b-e595-4d2b-ad94-bf730de50302	12	0.434	33	76	0.48	25	12	0.833	30	36	0.588	39	11	28	19	5	3	20	32	108	37054
005a6ff9-dd31-4eb0-b6ba-45c80d952186	400f5241-2d8c-4e12-8626-a2c6294e8cf2	11	0.465	46	99	0.273	22	6	0.619	13	21	0.513	58	15	43	32	3	14	18	20	111	37082
006563e1-8f1e-439b-b7a1-563b1f6a9462	a2b6d70d-f5f9-4d51-8361-766c38198dfb	12	0.457	37	81	0.387	31	12	0.7390000000000001	17	23	0.565	46	10	36	21	8	4	17	16	103	39339
006ba286-c608-41f4-b885-b6c50f974a7a	b519b71b-0fc6-4865-8538-5eb0849917da	9	0.402	39	97	0.24100000000000002	29	7	0.7859999999999999	33	42	0.511	49	13	36	22	8	11	7	17	118	39361
0079e3f0-d276-4ac3-93df-0ab8dbcbf8c9	41622c7f-0cfd-442f-82d6-48e592710be7	12	0.529	46	87	0.485	33	16	0.7140000000000001	15	21	0.639	48	9	39	33	7	8	11	25	123	40376
007a63b4-b235-49ac-a6bf-ef5ea1ace1f6	09e0c29b-e595-4d2b-ad94-bf730de50302	11	0.392	38	97	0.20800000000000002	24	5	0.769	20	26	0.466	41	12	29	17	8	5	8	22	101	37630
009c9254-72f5-4a71-9ac2-7781c53336d0	bb0a3e7e-8836-488f-87e9-80f5d044ce16	9	0.434	33	76	0.24	25	6	0.815	22	27	0.535	50	12	38	15	5	15	14	19	94	36820
00a2f8c6-30ba-4cf1-b3d4-694effb9d47d	4d7c7173-30bf-4329-859e-bed49a89d003	11	0.37200000000000005	35	94	0.21600000000000003	37	8	0.643	9	14	0.434	48	12	36	21	7	8	16	25	87	37075
00a51c85-a234-470a-96fa-2aac0d064340	09e0c29b-e595-4d2b-ad94-bf730de50302	9	0.461	41	89	0.31	29	9	0.655	19	29	0.54	34	7	27	22	18	7	12	22	110	37567
00ad5d3f-072c-48d1-826b-641923786bba	f51aea18-1681-4547-8d9f-62b026654108	11	0.376	32	85	0.273	22	6	0.71	22	31	0.466	44	15	29	21	7	1	15	31	92	37247
00af1a38-d0c1-48dd-a5da-4869440b4005	468ae0b5-3be6-4137-a095-21fb1eb61519	10	0.43	37	86	0.306	36	11	0.8	24	30	0.5489999999999999	57	12	45	17	5	4	21	18	109	40425
